Date,Price,Open,High,Low,Change %
16-Jan-20,1.1137,1.1151,1.1174,1.1128,-0.13%
15-Jan-20,1.1151,1.113,1.1165,1.1119,0.21%
14-Jan-20,1.1128,1.1135,1.1145,1.1103,-0.06%
13-Jan-20,1.1135,1.1125,1.1148,1.1113,0.12%
10-Jan-20,1.1122,1.1106,1.1131,1.1085,0.14%
9-Jan-20,1.1106,1.1105,1.1121,1.1092,0.01%
8-Jan-20,1.1105,1.1154,1.117,1.1102,-0.43%
7-Jan-20,1.1153,1.1198,1.1199,1.1133,-0.38%
6-Jan-20,1.1195,1.1168,1.1208,1.1155,0.31%
3-Jan-20,1.116,1.1172,1.1182,1.1125,-0.11%
2-Jan-20,1.1172,1.1212,1.1227,1.1164,-0.36%
1-Jan-20,1.1212,1.1214,1.1224,1.1206,0.00%
31-Dec-19,1.1212,1.1198,1.1241,1.1198,0.12%
30-Dec-19,1.1199,1.1175,1.1224,1.1171,0.20%
27-Dec-19,1.1177,1.1097,1.1188,1.1096,0.71%
26-Dec-19,1.1098,1.1092,1.1111,1.1082,0.06%
25-Dec-19,1.1091,1.1088,1.1106,1.1072,0.03%
24-Dec-19,1.1088,1.1089,1.1095,1.1069,0.00%
23-Dec-19,1.1088,1.1081,1.1097,1.107,0.08%
20-Dec-19,1.1079,1.1121,1.1126,1.1065,-0.39%
19-Dec-19,1.1122,1.1113,1.1146,1.1108,0.08%
18-Dec-19,1.1113,1.115,1.1156,1.1111,-0.33%
17-Dec-19,1.115,1.1142,1.1176,1.1128,0.05%
16-Dec-19,1.1144,1.1123,1.116,1.1123,0.21%
13-Dec-19,1.1121,1.113,1.1201,1.1112,-0.08%
12-Dec-19,1.113,1.113,1.1156,1.1103,0.00%
11-Dec-19,1.113,1.1092,1.1146,1.107,0.33%
10-Dec-19,1.1093,1.1064,1.1098,1.1062,0.26%
9-Dec-19,1.1064,1.1056,1.108,1.1052,0.05%
6-Dec-19,1.1059,1.1106,1.1111,1.104,-0.41%
5-Dec-19,1.1104,1.1079,1.111,1.1078,0.23%
4-Dec-19,1.1078,1.1082,1.1117,1.1067,-0.05%
3-Dec-19,1.1083,1.1079,1.1095,1.1066,0.04%
2-Dec-19,1.1079,1.1014,1.1091,1.1003,0.56%
29-Nov-19,1.1017,1.1009,1.103,1.0981,0.07%
28-Nov-19,1.1009,1.0999,1.102,1.0999,0.09%
27-Nov-19,1.0999,1.1019,1.1025,1.0991,-0.19%
26-Nov-19,1.102,1.1014,1.1027,1.1007,0.05%
25-Nov-19,1.1014,1.1024,1.1033,1.1003,-0.09%
22-Nov-19,1.1024,1.1059,1.1087,1.1015,-0.32%
21-Nov-19,1.1059,1.1074,1.1098,1.1052,-0.13%
20-Nov-19,1.1073,1.1078,1.1082,1.1052,-0.05%
19-Nov-19,1.1079,1.1071,1.1084,1.1062,0.06%
18-Nov-19,1.1072,1.1052,1.1092,1.1048,0.18%
15-Nov-19,1.1052,1.1022,1.1059,1.1015,0.26%
14-Nov-19,1.1023,1.1006,1.1029,1.0989,0.15%
13-Nov-19,1.1007,1.101,1.1021,1.0994,-0.02%
12-Nov-19,1.1009,1.1033,1.104,1.1003,-0.22%
11-Nov-19,1.1033,1.1022,1.1044,1.1016,0.14%
8-Nov-19,1.1018,1.105,1.1057,1.1017,-0.29%
7-Nov-19,1.105,1.1065,1.1092,1.1035,-0.15%
6-Nov-19,1.1067,1.1075,1.1095,1.1065,-0.07%
